Timestamp,Sensor Data,Value,Node
2026-04-07 10:03:59,battery_voltage (V),4.21,W096
2026-04-07 10:33:58,battery_voltage (V),4.15,W096
2026-04-07 11:03:59,battery_voltage (V),4.15,W096
2026-04-07 11:34:00,battery_voltage (V),4.16,W096
2026-04-07 12:04:00,battery_voltage (V),4.16,W096
2026-04-07 12:34:02,battery_voltage (V),4.16,W096
2026-04-07 13:03:59,battery_voltage (V),4.16,W096
2026-04-07 13:34:04,battery_voltage (V),4.16,W096
2026-04-07 14:04:00,battery_voltage (V),4.16,W096
2026-04-07 14:33:57,battery_voltage (V),4.16,W096
2026-04-07 15:04:03,battery_voltage (V),4.16,W096
2026-04-07 15:33:56,battery_voltage (V),4.16,W096
2026-04-07 16:04:03,battery_voltage (V),4.16,W096
2026-04-07 16:33:55,battery_voltage (V),4.16,W096
2026-04-07 17:04:01,battery_voltage (V),4.17,W096
2026-04-07 17:33:57,battery_voltage (V),4.16,W096
2026-04-07 18:04:04,battery_voltage (V),4.16,W096
2026-04-07 18:33:59,battery_voltage (V),4.16,W096
2026-04-07 19:04:02,battery_voltage (V),4.15,W096
2026-04-07 19:34:02,battery_voltage (V),4.15,W096
2026-04-07 20:03:59,battery_voltage (V),4.14,W096
2026-04-07 20:34:01,battery_voltage (V),4.14,W096
2026-04-07 21:04:01,battery_voltage (V),4.14,W096
2026-04-07 21:34:02,battery_voltage (V),4.14,W096
2026-04-07 22:34:03,battery_voltage (V),4.13,W096
2026-04-07 23:03:56,battery_voltage (V),4.13,W096
2026-04-07 23:33:58,battery_voltage (V),4.13,W096
2026-04-08 00:04:00,battery_voltage (V),4.12,W096
2026-04-08 00:34:02,battery_voltage (V),4.12,W096
2026-04-08 01:03:56,battery_voltage (V),4.12,W096
2026-04-08 01:33:56,battery_voltage (V),4.12,W096
2026-04-08 02:04:02,battery_voltage (V),4.12,W096
2026-04-08 02:33:57,battery_voltage (V),4.11,W096
2026-04-08 03:03:57,battery_voltage (V),4.11,W096
2026-04-08 03:33:58,battery_voltage (V),4.11,W096
2026-04-08 04:04:04,battery_voltage (V),4.11,W096
2026-04-08 04:33:59,battery_voltage (V),4.1,W096
2026-04-08 05:03:59,battery_voltage (V),4.1,W096
2026-04-08 05:33:55,battery_voltage (V),4.09,W096
2026-04-08 06:04:04,battery_voltage (V),4.09,W096
2026-04-08 06:34:03,battery_voltage (V),4.09,W096
2026-04-08 07:04:04,battery_voltage (V),4.09,W096
2026-04-08 07:33:59,battery_voltage (V),4.1,W096
2026-04-08 08:04:01,battery_voltage (V),4.15,W096
2026-04-08 08:33:55,battery_voltage (V),4.17,W096
2026-04-08 09:04:03,battery_voltage (V),4.19,W096
2026-04-08 09:34:05,battery_voltage (V),4.21,W096
2026-04-08 10:34:02,battery_voltage (V),4.16,W096
2026-04-08 11:04:05,battery_voltage (V),4.16,W096
2026-04-08 11:33:58,battery_voltage (V),4.17,W096
2026-04-08 12:03:59,battery_voltage (V),4.17,W096
2026-04-08 12:33:58,battery_voltage (V),4.16,W096
2026-04-08 13:03:58,battery_voltage (V),4.16,W096
2026-04-08 13:33:59,battery_voltage (V),4.16,W096
2026-04-08 14:04:02,battery_voltage (V),4.16,W096
2026-04-08 14:34:03,battery_voltage (V),4.16,W096
2026-04-08 15:03:57,battery_voltage (V),4.15,W096
2026-04-08 15:34:01,battery_voltage (V),4.15,W096
2026-04-08 16:03:56,battery_voltage (V),4.17,W096
2026-04-08 17:04:01,battery_voltage (V),4.17,W096
2026-04-08 18:33:57,battery_voltage (V),4.16,W096
2026-04-08 19:03:55,battery_voltage (V),4.15,W096
2026-04-08 19:34:00,battery_voltage (V),4.15,W096
2026-04-08 20:03:55,battery_voltage (V),4.15,W096
2026-04-08 20:34:04,battery_voltage (V),4.14,W096
2026-04-08 21:03:56,battery_voltage (V),4.14,W096
2026-04-08 21:33:59,battery_voltage (V),4.14,W096
2026-04-08 22:04:01,battery_voltage (V),4.14,W096
2026-04-08 23:04:05,battery_voltage (V),4.13,W096
2026-04-08 23:34:02,battery_voltage (V),4.13,W096
2026-04-09 00:03:56,battery_voltage (V),4.13,W096
2026-04-09 00:34:01,battery_voltage (V),4.12,W096
2026-04-09 01:04:01,battery_voltage (V),4.12,W096
2026-04-09 01:33:56,battery_voltage (V),4.12,W096
